리뷰,속성,감성,속성키워드_단어
빠른 배송 감사합니다,배송,긍정,빠른
종이 질이 성당히 훌륭하네요,기타,중립,기타
처음엔 휴지가 강해서 좋았는데 쓰다보니 너무 강해서 좀 아픈 것 같아요 ㅎㅎ 적당히 찢어져야 피부에 자극이 덜 한 것 같습니다,피부/안전,긍정,자극
처음엔 휴지가 강해서 좋았는데 쓰다보니 너무 강해서 좀 아픈 것 같아요 ㅎㅎ 적당히 찢어져야 피부에 자극이 덜 한 것 같습니다,피부/안전,긍정,피부
처음엔 휴지가 강해서 좋았는데 쓰다보니 너무 강해서 좀 아픈 것 같아요 ㅎㅎ 적당히 찢어져야 피부에 자극이 덜 한 것 같습니다,피부/안전,부정,자극
처음엔 휴지가 강해서 좋았는데 쓰다보니 너무 강해서 좀 아픈 것 같아요 ㅎㅎ 적당히 찢어져야 피부에 자극이 덜 한 것 같습니다,피부/안전,부정,피부
처음엔 휴지가 강해서 좋았는데 쓰다보니 너무 강해서 좀 아픈 것 같아요 ㅎㅎ 적당히 찢어져야 피부에 자극이 덜 한 것 같습니다,포장,긍정,찢
처음엔 휴지가 강해서 좋았는데 쓰다보니 너무 강해서 좀 아픈 것 같아요 ㅎㅎ 적당히 찢어져야 피부에 자극이 덜 한 것 같습니다,포장,부정,찢
조금 얇긴하지만 가격이 최대 장점이네요 막쓰기 좋아요,사용감,긍정,얇
조금 얇긴하지만 가격이 최대 장점이네요 막쓰기 좋아요,가격/가성비,긍정,가격
제품의 질이 좋아요 감사합니다,기타,긍정,기타
부드럽고 좋아용 사용하기 좋아요,사용감,긍정,부드
킹왕짱!! 걍 좋아요~ 집에서 쓰기에~ ㅎㅎ,기타,긍정,기타
일단 배송이 진짜 빠릅니다. 품질도 좋습니다. 가격대비 합리적으로 잘 쟁여두고 쓰려고 합니다. 감사합니다~!,가격/가성비,긍정,가격
일단 배송이 진짜 빠릅니다. 품질도 좋습니다. 가격대비 합리적으로 잘 쟁여두고 쓰려고 합니다. 감사합니다~!,가격/가성비,긍정,합리
잘받았습니다~ 휴지는 생필품이라 잘쓸꺼같습니다~,기타,중립,기타
항상 잘사용하고 있어요ㅡ좋아요,기타,긍정,기타
좋아요 좋아요 좋아요,기타,긍정,기타
두루마리 휴지는 역시 대왕표,기타,중립,기타
좋아요 재구매한 상품입니다,기타,긍정,기타
빨리와요 싸요 정확한 자리에 와요,배송,중립,빨리
아주 도톰하진 않지만 적당한 가격에 잘 쓰고 있어요,기능/성능,중립,도톰
아주 도톰하진 않지만 적당한 가격에 잘 쓰고 있어요,가격/가성비,중립,가격
단단하고 별다른 단점없이 잘쓰고있습니다,기능/성능,중립,단단
휴지 먼지 별로 없고 좋네요,기타,혼합,기타
감사합니다 저렴하게 구매했어요~,가격/가성비,긍정,저렴
잘사용하고있어요.만족,기타,긍정,기타
부드럽고 좋아용,사용감,긍정,부드
가성비 좋은 상품 5번째 재구매 입니다,가격/가성비,긍정,가성비
"좀 두꺼워서 좋기도 하지만,,",기타,긍정,기타
좋습니다..,기타,긍정,기타
얇지않아서 추천이여 먼지도 잘 안날려서 좋아여,사용감,긍정,얇
굿굿 가성비굿입니다 이주 좋아요,가격/가성비,긍정,가성비
가격과 품질을 보면 이만한 휴지가 있을까 싶습니다.,가격/가성비,중립,가격
두툼하고 가성비좋네요ㅎ많이파세요ㅎ,가격/가성비,긍정,가성비
빠른배송 감사합니다. 든든합니다.,배송,긍정,빠른
만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다 만족합니다,기타,긍정,기타
배송 빠르게 도착했습니다.,배송,긍정,도착
배송 빠르게 도착했습니다.,배송,긍정,빠르
빠른배송 좋아요 다음에도 주문할 계획입니다 많이 파세요!,배송,긍정,빠른
재주 주문하던거예요.도톰ㅎㅏ고질좋습니다.,기능/성능,긍정,도톰
배송도 빠르고 화장지 품질도 괜찮네요,배송,긍정,빠르
배송 빠르고 좋아요,배송,긍정,빠르
배송도 빠르고 저렴해요,가격/가성비,긍정,저렴
배송도 빠르고 저렴해요,배송,긍정,빠르
가성비 넘 좋아요 사용해보고 부드러우면 재주문 예정이에요,사용감,긍정,부드
가성비 넘 좋아요 사용해보고 부드러우면 재주문 예정이에요,가격/가성비,긍정,가성비
화장실에서 쓰기에 넘 좋아요,기타,긍정,기타
